Supplementary Table 3:Repetitive elements read counts on chromosome Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The column titles are composed of the sex of the sample (F for female and M for male) followed by a dash and the sample name. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F-Sample-13,F-Sample-16,F-Sample-17,F-Sample-18,F-Sample-2,F-Sample-20,F-Sample-23,F-Sample-24,F-Sample-26,F-Sample-28,F-Sample-31,F-Sample-33,F-Sample-37,F-Sample-40,F-Sample-41,F-Sample-45,F-Sample-5,F-Sample-54,F-Sample-55,F-Sample-56,F-Sample-57,F-Sample-8,F-Sample-9,M-Sample-1,M-Sample-10,M-Sample-11,M-Sample-12,M-Sample-14,M-Sample-15,M-Sample-19,M-Sample-21,M-Sample-22,M-Sample-27,M-Sample-29,M-Sample-3,M-Sample-30,M-Sample-32,M-Sample-34,M-Sample-35,M-Sample-36,M-Sample-38,M-Sample-39,M-Sample-4,M-Sample-42,M-Sample-43,M-Sample-44,M-Sample-46,M-Sample-47,M-Sample-48,M-Sample-49,M-Sample-50,M-Sample-51,M-Sample-52,M-Sample-53,M-Sample-58,M-Sample-59,M-Sample-6,M-Sample-60,M-Sample-7
chrY:21190699-21192061_+,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,5,5,3,2,8,3,7,0,5,12,0,0,0,0,0,4,0,0,0,0,0,2,7,0,0,7,18,0,14,0,0,0,0
chrY:21248337-21248630_-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,8,12,3,4,0,0,4,0,0,10,5,0,0,0,0,9,3,11,23,4,0,0,6,0,0,0,0,0,0,0,2,0,5,0
chrY:14489552-14489958_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,0,14,3,3,0,2,3,8,6,0,12,0,0,0,10,3,12,0,0,0,0,0,0,9,15,0,2,2,7,0,0,0,0
chrY:14872890-14873185_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,0,3,5,9,0,10,10,0,6,4,8,0,0,0,0,0,0,5,0,0,0,10,0,0,0,0,0,13,0,12,0,12,0
chrY:16697109-16697224_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,9,7,1,0,6,0,0,0,0,0,5,0,0,0,17,2,0,24,0,0,0,0,0,0,8,7,19,12,0,0,3,0,0
chrY:16913849-16913928_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,6,4,7,0,4,5,7,3,5,0,6,0,0,0,0,5,13,20,0,0,0,0,0,3,0,0,0,7,0,8,6,0,0
chrY:21686562-21687334_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,5,5,0,0,13,0,1,2,0,0,0,6,38,12,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,10,6,0,0
chrY:22216319-22216560_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,4,3,9,6,11,4,12,0,14,0,0,0,0,0,15,0,0,0,0,0,0,0,0,2,0,6,9,18,0,0,0,0,0
chrY:7242428-7242722_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,13,1,3,4,0,7,1,0,5,0,7,0,0,0,0,7,0,0,0,0,0,8,0,8,1,6,0,24,7,3,12,0,0
chrY:15339030-15340370_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,0,0,0,2,0,18,0,0,0,0,5,0,0,4,0,0,0,19,0,2,6,4,0,39,0,3,0,12,2,0,0
chrY:15595890-15600956_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,4,3,0,0,0,1,4,0,6,13,5,0,8,0,0,0,1,4,0,0,0,0,0,6,0,9,14,8,1,25,0,0,0
chrY:22115447-22115716_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,6,88,0,0,0,0,0,0,0,0,0,0,0,0
chrY:24502830-24503120_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,114,0,0,0,0,0,0,0,0,0,0,0,0
chrY:2833491-2834802_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,2,1,0,0,2,0,5,27,0,0,29,0,2,0,0,0,0,11,8,0,13,2,0,0,14,0,0,0,0
chrY:14937823-14938160_-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,3,0,2,0,0,1,0,0,4,23,9,17,8,0,1,1,0,0,15,0,3,0,8,7,0,0,3,6,0,0,1,0,0
chrY:15354300-15354355_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,3,0,0,5,0,0,2,0,11,0,0,0,0,4,0,24,0,0,0,0,0,0,0,48,12,3,2,0,8,0,0
chrY:15407369-15408886_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0
chrY:7201626-7201693_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,5,0,1,9,0,0,0,0,0,9,0,0,0,0,3,8,0,0,2,0,1,0,0,2,11,27,21,13,0,0,0,0
chrY:14798847-14799765_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,2,0,0,13,3,0,4,2,0,11,0,0,0,0,0,0,0,0,0,0,5,0,6,0,10,19,19,13,0,0,11,0
chrY:15449892-15450105_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,4,0,3,0,0,0,6,56,0,0,7,0,5,0,21,0,4,0,6,8
chrY:21203511-21203986_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,4,6,2,1,8,0,4,3,0,1,0,2,0,0,4,12,0,0,0,0,0,0,4,0,14,9,0,1,1,0,17,5,18,0
chrY:22737041-22737197_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,10,4,0,0,0,3,6,0,0,11,0,0,10,0,0,0,4,0,0,17,45,0,0,0,0,0,3,1,0,0,2,0,7
chrY:14402738-14403120_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,2,6,0,0,2,0,13,0,21,0,0,0,2,0,5,0,23,0,0,0,4,0,0,0,3,0,0,27,15,0,0,0
chrY:16789592-16789902_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,117,0,0,0,6,0,0,0,0,0,0,0,0
chrY:22598617-22598758_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,12,9,1,0,0,5,10,0,0,0,0,0,7,0,0,0,2,0,0,0,0,11,2,0,0,0,13,12,25,0,1,0,11
chrY:21038050-21038478_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4,5,0,6,4,11,11,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,11,7,27,0,15,5,10,0
chrY:21902172-21902388_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,2,4,4,2,0,10,2,0,10,0,1,0,0,0,0,7,0,4,0,0,0,15,7,0,12,18,3,12,2,0,4,0,0
chrY:22115718-22117126_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,88,0,0,0,11,0,0,0,0,0,3,0,0
chrY:22529359-22529661_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,2,4,0,3,0,17,64,0,0,0,3,0,11,0,0,0,6,0,0,8,5,0,0,0,0,0,0,0
chrY:22748403-22748648_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,17,3,10,0,0,5,0,16,1,0,16,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,18,0,2,0,19,0,0
chrY:2721876-2722168_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,1,14,3,2,1,0,0,0,2,0,13,5,1,1,6,6,0,2,0,7,4,0,19,1,4,0,10,2,12,0,0
chrY:21772957-21773769_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,10,5,2,8,2,0,4,3,0,0,12,0,0,0,0,0,6,10,0,0,0,0,8,0,0,0,0,0,4,10,23,0,14,0
chrY:21890242-21890539_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,3,0,4,5,1,2,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,11,10,0,0,17,15,25,16,0,3,0,0
chrY:22214415-22215222_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,3,3,1,2,0,0,0,0,0,34,0,25,0,0,8,2,11,0,0,6,0,0,0,2,6,14,0,4,0,0,0
chrY:22752633-22752823_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,5,5,5,0,17,2,9,0,3,11,0,0,9,0,1,6,5,0,12,0,0,4,0,0,13,7,0,7,0,3,0,0,0
chrY:14209773-14210154_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,6,5,17,2,1,0,7,1,0,4,0,1,0,0,2,0,7,0,0,0,0,21,0,0,11,1,11,0,7,0,0,0,0,14
chrY:14463278-14463583_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,5,4,4,0,0,12,0,1,6,0,0,2,0,0,0,0,0,0,0,0,5,10,0,3,0,24,9,8,14,0,17,0
chrY:4973385-4973696_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,2,3,0,0,0,1,0,0,0,11,0,0,0,8,0,0,0,0,0,7,4,9,1,0,0,9,59,0,8,4
chrY:16696977-16697105_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2,2,0,16,0,0,0,2,18,0,0,0,0,0,4,8,11,12,0,0,0,0,0,0,22,7,18,3,0,0,0,0
chrY:16860749-16860836_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,6,7,1,0,0,0,0,0,6,0,22,0,0,8,0,0,3,16,0,0,0,0,0,0,7,0,0,0,15,4,17,0,13,3
chrY:21858286-21859830_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,1,4,2,0,0,0,5,0,6,0,0,0,0,5,0,0,0,2,0,5,8,0,0,27,31,0,0,0,3,25,0
chrY:14943408-14943681_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,9,12,6,7,5,2,1,5,0,8,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,36,12,0
chrY:14954773-14954794_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,10,0,0,7,0,0,0,0,29,0,4,0,0,23,0,0,0,0,0,9,45,0,0,0,0,0,0,0
chrY:21901074-21901191_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,12,6,7,17,0,0,6,0,0,0,0,0,28,1,0,6,3,0,0,0,7,0,0,8,2,19,1,3,0,0,0,0
chrY:21082258-21082510_+,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,4,0,0,0,0,4,32,0,3,0,0,0,0,0,0,0,4,0,27,44,9,0,2,0,0,0
chrY:21043661-21043781_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,9,5,10,12,2,4,4,16,0,10,0,0,0,0,0,8,7,0,0,1,0,0,3,0,0,0,0,17,6,7,0,0,5,0
chrY:15489662-15490209_+,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,3,1,12,0,7,5,0,0,4,0,9,0,0,0,0,4,0,32,0,0,0,0,0,0,11,1,15,12,3,11,0,0,0
chrY:14936527-14936845_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,0,1,0,4,0,0,0,0,22,0,0,5,0,0,0,0,27,0,0,0,0,0,0,4,21,17,0,1,9,14,0,0
chrY:15463411-15463651_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0
chrY:16876396-16876770_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,10,3,2,3,5,0,5,9,0,12,0,0,27,0,0,0,10,4,7,8,0,0,5,0,0,0,3,1,8,0,5,4,0,0
chrY:16696554-16696686_-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,4,3,0,1,0,0,0,24,10,0,0,0,0,0,0,0,2,0,0,6,0,0,0,7,1,26,18,20,0,8,0
chrY:16031357-16031430_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,5,7,3,9,21,5,2,0,2,0,0,0,0,0,8,1,24,2,0,0,0,0,0,0,0,0,7,0,0,14,8,8,3
chrY:14208887-14209102_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,5,0,0,0,0,0,0,6,0,0,50,21,4,0,0,0,0,0,0,12,0,0,8,0,2,0,11,0,12,0
chrY:14269317-14270754_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,2,17,12,7,2,6,0,0,19,0,12,0,0,0,0,5,0,0,2,0,0,5,0,0,0,1,8,4,11,0,0,12,0
chrY:15313444-15313594_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4,0,1,3,0,6,2,0,0,0,3,0,0,0,6,6,7,0,4,0,0,10,0,8,7,12,17,14,20,4,0,0,0
chrY:15825850-15825968_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,7,5,3,3,1,4,0,2,0,0,0,0,42,0,0,0,0,9,0,0,0,15,14,0,20,0,0,0,4,0,0,3
chrY:14943128-14943406_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,2,8,9,3,7,10,4,0,14,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,16,0,10,6,0,1,0,26,0
chrY:21720652-21720686_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,4,8,0,0,5,3,14,0,0,6,0,0,0,8,4,0,0,0,0,0,0,0,0,6,4,28,0,44,0,0,0,0
chrY:14463596-14463755_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,4,2,2,0,0,0,15,0,1,26,5,0,0,0,0,0,0,19,0,0,0,20,0,0,0,2,0,11,15,2,0,3,0
chrY:16694234-16694361_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,6,1,1,10,9,0,2,1,0,1,6,8,24,2,0,19,1,0,8,0,0,0,0,0,12,10,6,3,2,1,0,2,1,0
chrY:21050886-21051687_+,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,3,2,8,8,9,3,9,0,2,0,0,0,0,0,15,4,0,0,1,0,0,0,0,0,0,5,8,18,12,7,3,16,0
chrY:14275710-14276123_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,22,5,3,4,5,2,12,0,0,3,17,6,0,0,29,0,0,0,0,0,0,0,0,0,8,17,0,2,0,1,0,0,0,0
chrY:14286072-14286361_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,14,4,5,0,10,0,0,4,0,0,32,0,13,0,1,12,4,6,0,0,1,0,0,11,2,4,8,0,0,0,0,0
chrY:15362338-15362365_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,3,10,0,0,18,1,0,4,0,0,35,0,0,0,0,0,0,0,0,0,1,0,0,7,1,50,0,0,0,3,0,0
chrY:21722776-21722896_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,11,12,10,4,4,0,1,4,0,6,0,12,0,6,0,0,4,0,0,13,0,0,18,0,0,3,0,13,0,10,0,0,0,0
chrY:21862774-21863599_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,3,3,3,17,6,1,0,1,0,0,0,9,0,13,1,0,0,0,0,0,4,0,0,7,2,17,0,23,0,0,21,0
chrY:22666880-22669141_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,7,0,0,0,0,0,1,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0
chrY:21201087-21202689_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,9,4,5,8,0,0,0,7,24,4,0,0,0,2,0,0,7,0,8,0,0,0,14,0,13,0,0,16,0,12,6,0,0,0
chrY:16916550-16916879_-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,7,2,0,7,5,0,6,0,0,0,0,23,0,0,0,6,14,0,0,9,0,0,10,18,20,9,1,1,0,0,0
chrY:14451471-14451742_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,0,0,0,2,16,0,0,0,0,0,0,31,7,0,0,8,0,0,0,21,0,6,4,8,11,21,1,0,0,0
chrY:16829465-16830025_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,1,0,2,0,0,0,0,7,28,13,0,0,0,0,0,0,0,0,2,0,0,0,34,0,18,17,0,0,16,0
chrY:16862086-16862346_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,8,6,6,5,4,8,1,3,0,8,0,0,0,24,0,8,11,9,0,0,0,0,5,4,6,0,9,1,2,3,4,0,0,0
chrY:22525462-22526725_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,13,18,8,9,3,15,2,2,0,1,0,0,0,8,17,0,0,0,4,0,0,0,0,1,0,2,0,4,10,9,7,1,0,2
chrY:14279632-14280134_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,11,8,1,3,6,0,3,2,0,0,16,0,0,6,0,0,0,5,0,6,4,0,4,13,1,8,0,3,18,16,0,0,5,0
chrY:14286784-14287055_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1,1,0,0,8,1,0,0,0,0,0,33,5,0,11,3,0,0,7,0,0,9,0,25,0,17,2,5,2,8,0,2,0
chrY:14826381-14826684_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,2,1,1,0,7,0,6,0,0,12,0,0,27,6,0,15,11,6,0,0,0,0,0,0,6,2,10,1,2,15,1,6,0,0
chrY:16947368-16947509_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,3,0,0,0,0,15,0,9,2,0,0,22,0,4,0,9,0,0,0,4,4,0,1,0,0,12,22,14,0,16,0
chrY:22562610-22562788_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,11,7,9,6,1,13,5,9,0,12,19,0,0,0,0,0,0,0,0,9,0,0,2,0,0,2,4,1,0,16,0,3,7,0
chrY:14206969-14207249_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,4,2,4,2,6,3,0,20,0,21,0,0,8,0,0,0,0,2,15,0,0,2,18,0,0,0,0,14,0,0,0,16,0
chrY:22564322-22564411_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,1,11,4,3,0,5,0,0,1,0,0,0,9,0,0,4,0,0,0,0,0,5,0,0,0,20,37,0,35,0,0,0,0
chrY:22609844-22611082_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,6,4,9,0,9,0,9,0,0,0,0,9,0,0,0,0,0,0,27,0,0,0,0,0,0,19,14,3,22,0,0,2,5,0
chrY:14283193-14283571_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,4,6,18,2,5,0,6,6,0,4,0,15,0,0,10,0,2,7,0,0,0,0,16,10,0,0,2,8,4,0,0,0,0,0
chrY:22627242-22627838_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,13,2,8,0,0,8,5,0,4,7,0,0,5,0,0,5,0,0,12,0,0,0,12,32,0,11,5,3,5,0,3,2,0
chrY:8512242-8512697_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,1,7,1,4,19,5,11,0,4,20,0,0,0,0,3,4,19,0,0,0,0,0,12,0,7,0,3,0,0,22,0,0,0
chrY:14352705-14353019_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,2,0,9,3,1,0,2,0,19,0,0,0,0,7,0,6,0,0,0,3,0,28,9,22,3,3,20,0,6,0,0
chrY:15971534-15971707_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,6,4,14,0,4,8,0,13,0,10,0,0,0,0,4,8,0,13,0,0,6,5,0,18,0,1,17,0,0,7,7,2
chrY:21212587-21212636_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,14,0,0,6,8,11,29,0,11,0
chrY:7202878-7202938_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,13,4,2,13,9,4,0,9,14,0,0,10,6,11,3,4,9,0,0,0,4,10,0,4,2,1,0,0,0,12,0,0
chrY:14827255-14827542_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,4,7,11,3,8,9,2,0,11,0,1,21,0,9,0,0,0,0,0,0,0,0,0,0,4,17,11,10,1,9,7,0,0
chrY:15507539-15507570_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,1,7,9,0,14,4,0,0,8,0,8,0,0,0,0,12,0,0,0,0,1,9,13,0,0,34,4,0,1,0,4,11,0
chrY:21227720-21227848_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,5,9,0,10,0,0,0,0,11,0,10,0
chrY:21901881-21902019_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,3,7,5,0,1,1,3,0,5,0,6,0,0,0,0,6,0,11,10,0,0,0,9,0,15,16,0,10,25,0,2,0,0
chrY:22725390-22727650_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,4,77,0,0,0,0,0,28,0,1,12,2,0,6
chrY:14282387-14282745_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,6,4,9,20,2,11,0,9,5,0,8,0,4,0,0,0,0,12,11,15,0,0,0,0,0,0,0,1,2,0,10,0,0,3,0
chrY:14328648-14328954_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,3,5,5,3,0,4,3,9,0,0,0,31,0,17,0,0,0,15,7,0,0,11,12,0,1,3,2,9,0,0,0,1,0
chrY:14935395-14935587_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,11,1,2,5,3,0,2,6,0,1,13,0,0,4,0,20,4,5,9,0,0,0,6,0,0,1,8,20,0,4,0,4,10,0
chrY:16838682-16838979_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,22,0,0,1,0,0,11,0,0,0,0,58,0,0,18,9,7,11,0,0,0,0,0,15
chrY:16030750-16030954_-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,16,6,0,7,0,3,5,2,0,8,2,2,0,0,2,1,2,1,17,0,0,0,7,3,3,2,8,6,3,2,8,7,8,12
chrY:14935759-14936118_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,11,11,3,4,0,0,10,0,0,0,0,11,0,0,0,10,0,1,0,14,0,0,2,0,0,0,21,1,5,0,15,19,0,8
chrY:15313596-15313884_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,0,5,7,4,1,2,10,0,0,0,0,3,0,0,4,0,0,9,0,82,0,0,0,0,11,0,1,0,0,5,0,0
chrY:16917513-16917661_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,2,0,7,5,0,9,2,0,0,9,11,10,0,23,0,0,1,6,13,0,18,0,8,0,0,8,0,1,1,11,0,0,0,0
